"source","author_year","severity_class","c","V","zeta_1","zeta_1_lo","zeta_1_hi","weight","study_type","notes"
"Nelson 2009 + Harris 2012 (severe)","Nelson et al. 2009; Harris et al. 2012","Severe",1e+08,4000,4e+11,4e+10,4e+12,1,"Primary clinical","Primary anchor: severe rice-water stool with time-averaged volume"
"Merrell 2002 (severe)","Merrell et al. 2002","Severe",1e+08,4000,4e+11,4e+10,4e+12,1,"Primary clinical","Independent primary measurement (N=3, ICDDR)"
"Nelson 2020 (severe reference)","Nelson et al. 2020","Severe",3e+08,4000,1.2e+12,3e+11,1.2e+13,0.1,"Expert review","Community-consensus reference stool concentration"
"Nelson 2009 (moderate)","Nelson et al. 2009","Moderate",1e+07,2000,2e+10,1e+09,1e+11,0.5,"Expert review","Moderate class from Nelson review range"
"Nelson 2009 (mild)","Nelson et al. 2009","Mild",1e+05,300,3e+07,1e+06,1e+09,0.25,"Expert review","Mild class; Nelson '10^8' treated as upper bound"
"Kaper 1995 (severe range)","Kaper, Morris & Levine 1995","Severe",1e+08,4000,4e+11,1e+10,1e+13,0.1,"Expert review","Expert review; overlaps Nelson sources"
"Harris 2012 (clinical seminar)","Harris et al. 2012","Severe",1e+08,4000,4e+11,4e+10,4e+12,0.1,"Expert review","Modern clinical seminar"
"Codeco 2001 (range)","Codeco 2001","Severe",31622776.6016838,4000,1.26e+11,1e+10,1e+12,0.25,"Model convention","Modelling review of primary data"
"Endemic severity-weighted pool","Severity-weighted pool (endemic mix)","Mixed",NA,NA,8.8012e+10,1e+10,1e+13,0,"Severity-weighted pool","Severity-weighted pool (endemic mix); operationally relevant zeta_1 for I_symptomatic"
"Outbreak severity-weighted pool","Severity-weighted pool (outbreak mix)","Mixed",NA,NA,148007500000,1e+10,1e+13,0,"Severity-weighted pool","Severity-weighted pool (outbreak mix 0.35/0.40/0.25); sensitivity row"
"Nelson 2008 (Bangladesh acute)","Nelson et al. 2008","Severe",1e+08,4000,4e+11,4e+10,4e+12,0.25,"Primary clinical","Bangladesh primary shedding data; partial overlap with Nelson 2009"
"Kirpich 2015 (Haiti)","Kirpich et al. 2015","Severe",1e+08,4000,4e+11,4e+10,4e+12,0.25,"Primary clinical","Haiti clinical primary"
"Fung 2014 (population model)","Fung 2014","Population",NA,NA,1e+09,1e+08,1e+11,0.1,"Model convention","Modelling review; context only"
"V_sev high sensitivity (10 L/day)","Harris et al. 2012 (peak purging)","Severe",1e+08,10000,1e+12,1e+11,5e+12,0.25,"Severity-weighted pool","Peak-volume upper-bound sensitivity (V_sev=12 L/day)"
"V_sev low sensitivity (1.5 L/day)","Harris et al. 2012 (low-volume)","Severe",1e+08,1500,1.5e+11,1e+10,1e+12,0.25,"Severity-weighted pool","Low-volume lower-bound sensitivity (V_sev=6 L/day)"
"MOSAIC calibration posterior (Frame B)","MOSAIC MOZ bfrs_balanced_binned","Empirical",NA,NA,50000,27000,87000,0,"Calibration posterior","Frame-B calibration posterior; scale not directly comparable to biological-units literature anchors. Excluded from main fit (weight 0); appears in the forest plot for context and is published as `$sensitivity$include_calib` for comparison"
