"iso3","lon","lat"
"AGO",17.4080060291872,-12.2476770717943
"BDI",29.9296174779189,-3.33160582095583
"BEN",2.33998997717002,9.64379309243279
"BFA",-1.75279315410339,12.2754283386159
"BWA",23.8251365444554,-22.1685560667104
"CAF",20.4756724073698,6.57548645857743
"CIV",-5.56888181222763,7.62540693701578
"CMR",12.7375914143111,5.68850827377492
"COD",23.5973706767559,-2.84494407392556
"COG",15.219492092182,-0.842452500644988
"ERI",38.8546915918798,15.3759278338068
"ETH",39.6425154813473,8.6129686207813
"GAB",11.7938424218836,-0.602511588273808
"GHA",-1.20796524248589,7.95702819876789
"GIN",-10.9262344698574,10.4406293834837
"GMB",-15.3813991900793,13.4513409093526
"GNB",-14.9938148456154,12.0094351325069
"GNQ",10.3422077806729,1.70613388412527
"KEN",37.8175408592915,0.605503164639262
"LBR",-9.30773972168211,6.44762060096602
"MLI",-3.5660579315411,17.3245115945119
"MOZ",35.6232796128626,-17.1813625592051
"MRT",-10.3711361595556,20.2242226348788
"MWI",34.2576371655078,-13.5266283731526
"NAM",17.2079845971342,-22.0823545426148
"NER",9.3465140890448,17.4131822057233
"NGA",8.0967310091945,9.58286519084034
"RWA",29.9458854355726,-2.00052787024074
"SEN",-14.4673644604925,14.3591870497414
"SLE",-11.7911647347752,8.55929490845328
"SOM",45.8461643165786,6.04568212548052
"SSD",30.3531320415415,7.28020392645009
"SWZ",31.4976443208712,-26.564963856832
"TCD",18.6587016754029,15.3213235048772
"TGO",0.979886220774463,8.5273275635623
"TZA",34.9627801153483,-6.43344342559689
"UGA",32.3430414737038,1.51323752925018
"ZAF",25.205139356994,-28.970147862394
"ZMB",27.8242483267756,-13.4545187574112
"ZWE",29.8717869605857,-18.9906216113986
